Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"IRIS_CS","OffPage","RemotePanasonic2","2","SCHEMATIC1","U12.7","560","240","3C","1"
"IRIS_CS","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.42","360","30","4D","2"
"422BI","OffPage","RemotePanasonic","1","SCHEMATIC1","R25.2,R9.2,U10.3,U5.7","870","470","1B","1"
"422BI","OffPage","RemotePanasonic","1","SCHEMATIC1","R25.2,R9.2,U10.3,U5.7","780","220","1C","1"
"422ZI","OffPage","RemotePanasonic","1","SCHEMATIC1","R10.1,U10.4,U5.6","870","490","1B","1"
"422ZI","OffPage","RemotePanasonic","1","SCHEMATIC1","R10.1,U10.4,U5.6","780","230","1C","1"
"422YI","OffPage","RemotePanasonic","1","SCHEMATIC1","R10.2,U10.5,U5.5","870","500","1B","1"
"422YI","OffPage","RemotePanasonic","1","SCHEMATIC1","R10.2,U10.5,U5.5","900","230","1C","1"
"B_NET41","OffPage","RemotePanasonic2","2","SCHEMATIC1","U12.2","440","240","3C","1"
"B_NET41","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.19","400","460","3B","2"
"422AO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM1.2,R26.1,R27.1,U8.8","790","530","1A","2"
"422AO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM1.2,R26.1,R27.1,U8.8","380","410","3B","2"
"422YO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM1.3,R31.2,U8.5","380","460","3B","2"
"422YO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM1.3,R31.2,U8.5","790","510","1B","2"
"RXO","OffPage","RemotePanasonic2","2","SCHEMATIC1","R30.2,U8.2","130","400","5B","1"
"RXO","OffPage","RemotePanasonic","1","SCHEMATIC1","R32.1","260","470","4B","2"
"TXO","OffPage","RemotePanasonic2","2","SCHEMATIC1","R29.2,U8.3","130","480","5B","1"
"TXO","OffPage","RemotePanasonic","1","SCHEMATIC1","R33.1","260","480","4B","2"
"ICEDATA","OffPage","RemotePanasonic","1","SCHEMATIC1","IED1.2,U3.35","150","380","5B","1"
"ICEDATA","OffPage","RemotePanasonic","1","SCHEMATIC1","IED1.2,U3.35","580","190","2C","1"
"RXI","OffPage","RemotePanasonic","1","SCHEMATIC1","R5.1,R8.2,U5.2","110","230","5C","1"
"RXI","OffPage","RemotePanasonic","1","SCHEMATIC1","R5.1,R8.2,U5.2","620","440","2B","1"
"ICECLK","OffPage","RemotePanasonic","1","SCHEMATIC1","IED1.3,U3.36","580","180","2C","1"
"ICECLK","OffPage","RemotePanasonic","1","SCHEMATIC1","IED1.3,U3.36","150","390","5B","1"
"TXI","OffPage","RemotePanasonic","1","SCHEMATIC1","R11.2,R6.1,U5.3","110","240","5C","1"
"TXI","OffPage","RemotePanasonic","1","SCHEMATIC1","R11.2,R6.1,U5.3","620","520","2B","1"
"VCC5","OffPage","RemotePanasonic","1","SCHEMATIC1","C4.1,IED1.1,U1.1,U2.3","150","370","5B","1"
"VCC5","OffPage","RemotePanasonic","1","SCHEMATIC1","C4.1,IED1.1,U1.1,U2.3","690","20","2D","1"
"VCC5","OffPage","RemotePanasonic","1","SCHEMATIC1","C4.1,IED1.1,U1.1,U2.3","610","100","2D","1"
"PC9","OffPage","RemotePanasonic2","2","SCHEMATIC1","LED_3.3.2","620","370","2B","1"
"PC9","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.29","580","250","2C","2"
"PC10","OffPage","RemotePanasonic2","2","SCHEMATIC1","LED_3.4.2","620","470","2B","1"
"PC10","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.28","580","260","2C","2"
"PC11","OffPage","RemotePanasonic2","2","SCHEMATIC1","LED_3.5.2","620","550","2A","1"
"PC11","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.27","580","270","2C","2"
"ICEREST","OffPage","RemotePanasonic","1","SCHEMATIC1","C3.2,IED1.4,R3.2,U3.46","150","400","5B","1"
"ICEREST","OffPage","RemotePanasonic","1","SCHEMATIC1","C3.2,IED1.4,R3.2,U3.46","280","120","4D","1"
"422BO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM1.5,R27.2,R28.2,U8.7","790","470","1B","2"
"422BO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM1.5,R27.2,R28.2,U8.7","380","430","3B","2"
"422ZO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM1.9,R31.1,U8.6","790","480","1B","2"
"422ZO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM1.9,R31.1,U8.6","380","450","3B","2"
"B_NET11","OffPage","RemotePanasonic2","2","SCHEMATIC1","U11.1","160","230","5C","1"
"B_NET11","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.38","440","30","3D","2"
"B_NET21","OffPage","RemotePanasonic2","2","SCHEMATIC1","U11.2","160","240","5C","1"
"B_NET21","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.39","430","20","3D","2"
"B_NET31","OffPage","RemotePanasonic2","2","SCHEMATIC1","U12.1","440","230","3C","1"
"B_NET31","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.40","420","10","3D","2"
"A_INPUT1","OffPage","RemotePanasonic2","2","SCHEMATIC1","Q5.G","120","90","5D","1"
"A_INPUT1","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.41","400","10","3D","2"
"PC8","OffPage","RemotePanasonic","1","SCHEMATIC1","LED_3.1.2,U3.30","210","520","4B","1"
"PC8","OffPage","RemotePanasonic","1","SCHEMATIC1","LED_3.1.2,U3.30","580","240","2C","1"
"IRIS_AUTO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM2.9,Q5.D","200","40","4D","2"
"IRIS_AUTO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM2.9,Q5.D","180","560","5A","2"
"B_NET3","OffPage","RemotePanasonic2","2","SCHEMATIC1","Q3.G,U13.7","840","240","1C","1,2"
"B_NET3","OffPage","RemotePanasonic2","2","SCHEMATIC1","Q3.G,U13.7","530","80","3D","1,2"
"B_NET3","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.20","410","440","3B","2"
"B_AUDIO-F","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM2.4,R39.1,U11.5","180","570","5A","2"
"B_AUDIO-F","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM2.4,R39.1,U11.5","280","260","4C","2"
"A_AUDIO-I","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM2.8,R40.1,U12.5","180","580","5A","2"
"A_AUDIO-I","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM2.8,R40.1,U12.5","560","260","3C","2"
"A_INPUT","OffPage","RemotePanasonic2","2","SCHEMATIC1","Q4.G","750","80","2D","1"
"A_INPUT","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.26","580","280","2C","2"
"B_AUDIO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM2.2,Q1.D,Q3.D,R41.1,U13.5","180","610","5A","2"
"B_AUDIO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM2.2,Q1.D,Q3.D,R41.1,U13.5","840","260","1C","2"
"B_AUDIO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM2.2,Q1.D,Q3.D,R41.1,U13.5","600","30","2D","2"
"A_AUDIO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM2.7,Q4.D","830","30","1D","2"
"A_AUDIO","OffPage","RemotePanasonic2","2","SCHEMATIC1","COM2.7,Q4.D","180","600","5A","2"
"B_NET2","OffPage","RemotePanasonic2","2","SCHEMATIC1","U13.2","720","240","2C","1"
"B_NET2","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.21","420","420","3B","2"
"B_NET1","OffPage","RemotePanasonic2","2","SCHEMATIC1","Q1.G,U13.1","720","230","2C","1,2"
"B_NET1","OffPage","RemotePanasonic2","2","SCHEMATIC1","Q1.G,U13.1","380","80","3D","1,2"
"B_NET1","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.22","440","400","3B","2"
"FOCUS_CS","OffPage","RemotePanasonic2","2","SCHEMATIC1","U11.7","280","240","4C","1"
"FOCUS_CS","OffPage","RemotePanasonic","1","SCHEMATIC1","U3.43","360","50","4D","2"
"422AI","OffPage","RemotePanasonic","1","SCHEMATIC1","R7.1,R9.1,U10.6,U5.8","870","450","1B","1"
"422AI","OffPage","RemotePanasonic","1","SCHEMATIC1","R7.1,R9.1,U10.6,U5.8","900","220","1C","1"
